location,subplot,x,y,family,genus,species,max_diam,ba_m2,combined_diam,easting,northing,zone,AI_annual_min,AI_annual_mean,AI_annual_max,precip_annual_total,precip_annual_min,precip_annual_max,precip_season_SW,precip_season_SA,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh,leaf_area_cm2,max_height_m
high,1,18.7,17.5,Pittosporaceae,Pittosporum,Pittosporum undulatum,26.642537473583282,0.05574950966347303,26.642537473583282,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.29491642445795,7.301697165726484,0.42207307045094367,-1.950075,0.6735804962471003,-1.8752786587133417,5,14.828143750000006,25
high,1,19.9,0.3,Myrtaceae,Syzygium,Syzygium smithii,3.628732702495214,0.0020324086232835032,5.086986367413723,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1219104971690124,5.9798078080430965,0.47374167470324646,NA,0.5936414782361952,-1.650324347422806,4.47213595499958,3.9536437500000003,20.000000000000004
high,1,20.9,3.2,Sapindaceae,Guioa,Guioa semiglauca,8.817183847291002,0.006105899814249019,8.817183847291002,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,21.2,9.3,Ebenaceae,Diospyros,Diospyros pentamera,13.782818071758136,0.01491990056267818,13.782818071758134,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.0565314500894547,7.18519192079309,0.552466327824409,-2.84796,0.64804671956125115,-1.4501731832912452,6.324555320336759,13.197425,40.00000000000001
high,1,21.3,5.7,Sapindaceae,Diploglottis,Diploglottis australis,23.045635759706446,0.04171260072506867,23.045635759706446,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,1.9590698390273003,9.035258301376947,0.5011859217132896,NA,0.5237437917771388,-2.3225964319402737,5.916079783099616,83.93881288555193,35
high,1,21.8,11,Myrtaceae,Syzygium,Syzygium australe,8.594366926962348,0.005801197675699584,8.594366926962348,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.0600731844936324,7.297881681653251,0.37993109591594193,-1.600155,0.5775992869340472,NA,5,14.771675,25
high,1,21.9,4.7,Sapindaceae,Guioa,Guioa semiglauca,30.27127017607849,0.07196994484362661,30.27127017607849,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,22.4,0.5,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,6.270704757820676,0.004174156692471139,7.290199837298827,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,22.5,5.2,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,3.9788735772973833,0.0012433979929054324,3.978873577297384,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,22.5,16.7,Rutaceae,Melicope,Melicope micrococca,3.246760839074665,8.279240139640396e-4,3.2467608390746654,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.5022036667118126,6.634858187491436,0.3020519692684865,-1.605015,0.5302555508107963,-2.2284075337877356,5.916079783099616,7.611711145833333,35
high,1,22.8,18.1,Sapindaceae,Diploglottis,Diploglottis australis,3.660563691113593,0.0010524120611951578,3.660563691113593,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,1.9590698390273003,9.035258301376947,0.5011859217132896,NA,0.5237437917771388,-2.3225964319402737,5.916079783099616,83.93881288555193,35
high,1,23.6,8.8,Lauraceae,Cryptocarya,Cryptocarya obovata,19.51239602306637,0.02990274690534921,19.51239602306637,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.152160028940687,8.685838739798184,0.4396717555257599,-2.0059649999999998,0.5444562999153831,-1.7169463015410182,6.324555320336759,59.18502499999997,40.00000000000001
high,1,24.1,8.5,Ebenaceae,Diospyros,Diospyros pentamera,24.032396406876195,0.04536114821797881,24.032396406876195,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.0565314500894547,7.18519192079309,0.552466327824409,-2.84796,0.64804671956125115,-1.4501731832912452,6.324555320336759,13.197425,40.00000000000001
high,1,24.4,21,Sapindaceae,Guioa,Guioa semiglauca,26.801692416675177,0.05641756253710126,26.801692416675177,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,24.5,4,Ebenaceae,Diospyros,Diospyros pentamera,21.676903249116144,0.03690492778162024,21.676903249116148,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.0565314500894547,7.18519192079309,0.552466327824409,-2.84796,0.64804671956125115,-1.4501731832912452,6.324555320336759,13.197425,40.00000000000001
high,1,24.5,15.1,Lauraceae,Cryptocarya,Cryptocarya triplinervis,5.697746962689853,0.002549741765803709,5.697746962689853,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.468223648226839,7.249277688415268,0.477455498982103,-1.99395,0.746627411859969,-1.4144656155259823,4.47213595499958,14.070881249999998,20.000000000000004
